Hilspach,Jump to Record #: 60,=245  \\$aUeber die exartikula,Jump to Record #: 60,"=100  1\$aHilspach, Carl Georg,$d1885-",Jump to Record #: 60,=245  10$aUeber die Exartikulation des Schulterg{uml}urtels bei malignen Tumoren in der Schultergegend /$cvon Carl Georg Hilspach.,Jump to Record #: 60
Hiltbrunner,Jump to Record #: 61,=245  \\$aIschias und ihre beh,Jump to Record #: 61,"=100  1\$aHiltbrunner Von Eriswyl, Ernst.",Jump to Record #: 61,=245  14$aDie Ischias und ihre Behandlung /$cvorgelegt von Ernst Hiltbrunner von Eriswyl.,Jump to Record #: 61
Hilten,Jump to Record #: 62,=245  \\$aOver stoornissen in,Jump to Record #: 62,"=100  1\$aHilten, Johan Philip van.",Jump to Record #: 62,=245  10$aOver stoornissen in de vetresorptie /$cdoor Johan Philip van Hilten.,Jump to Record #: 62
Himel,Jump to Record #: 63,=245  \\$aHypophysare kachexie,Jump to Record #: 63,"=100  1\$aHimel, Zygmunt.",Jump to Record #: 63,=245  10$aHypophys{uml}are Kachexie mit atypischen Symptomen /$cvorgelegt von Zygmunt Himel.,Jump to Record #: 63
Himmel,Jump to Record #: 64,=245  \\$aUber die kraft der w,Jump to Record #: 64,"=100  1\$aHimmel, Josef,$d1909-",Jump to Record #: 64,=245  10$a{uml}Uber die Kraft der Wadenmuskulatur beim Gesunden und Kranken :$bmit 2 Abbildungen im Text /$cvorgelegt von Josef Himmel.,Jump to Record #: 64
Himmelmann,Jump to Record #: 65,=245  \\$aUber einen fall von,Jump to Record #: 65,"=100  1\$aHimmelmann, G{uml}unther W.,$d1935-",Jump to Record #: 65,=245  10$aOrthogonale Polynome und Normbereiche dargestellt am Beispiel des arteriellen Blutdrucks /$cvon G{uml}unther W. Himmelmann.,Jump to Record #: 65
Himmelweit,Jump to Record #: 66,=245  \\$aBeeinflussung des le,Jump to Record #: 66,"=100  1\$aHimmelweit, Fred,$d1902-",Jump to Record #: 66,=245  14$aDie Beeinflussung des Lecithin und Cholesterinspiegels im Blutserum durch Adrenalin /$cvorgelegt von Fred Himmelweit.,Jump to Record #: 66
Hindemith,Jump to Record #: 67,=245  \\$aVerdauungsleukocytos,Jump to Record #: 67,"=100  1\$aHindemith, Helmut,$d1911-",Jump to Record #: 67,=245  10$aUntersuchungen an Kaninchen und M{uml}ausen {uml}uber die diuretische Wirkung von Ononis spinosa L. und Equisetum arvense L. /$cvorgelegt von Helmut Hindemith.,Jump to Record #: 67
Hinden,Jump to Record #: 68,=245  \\$aMethoden der schnell,Jump to Record #: 68,"=100  1\$aHinden, Josef.",Jump to Record #: 68,=245  10$aMethoden der Schnelldesinfektion der Hand /$cvorgelegt von Josef Hinden.,Jump to Record #: 68
Hinderfeld,Jump to Record #: 69,=245  \\$aChirurgische behandl,Jump to Record #: 69,"=100  1\$aHinderfeld, Ernst,$d1891-",Jump to Record #: 69,=245  14$aDie chirurgische Behandlung der Blasentumoren unter Ber{uml}ucksichtigung der in der chirurgischen Klinik zu Freiburg i. Br. in den Jahren 1908 bis 1915 behandelten F{uml}alle /$cvon Ernst Hinderfeld.,Jump to Record #: 69
